Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply. ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted
AnewVista Community Services,250 Hillview Ave.,Redwood City,CA,94062,'+16503000688,https://ANVCS.org,Shalini Gupta,Community Engagement Director,info@anvcs.org,"Community-based Organization / Non-profit (501c3), Other, Other, Non Profit a 501(c)(3) organization",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Online educational resources",,"Contra Costa, Sacramento, San Francisco, San Mateo, Santa Clara",,"Virtually, In-Person",https://ANVCS.org/classes,At Various SeniorCenters,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,No,"English, Spanish, Hindi","Train-the-trainer, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/23/25 10:07
United Way of Santa Cruz County,"4450 Capitola Rd., Suite 106",Capitola,CA,95010,'+18314795466,https://www.unitedwaysc.org/,Yvette Lopez Brooks,CEO,ybrooks@unitedwaysc.org,"Community-based Organization / Non-profit (501c3), County Government, Digital Equity Coalition",,"Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Computer center(s), Workforce development resources",,Santa Cruz,,"Virtually, In-Person",https://www.unitedwaysc.org/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities","English, Spanish","Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/22/25 14:51
LightHouse for the Blind and Visually Impaired,1155 Market Street,San Francisco,CA,94103,'+14154311481,https://lighthouse-sf.org/,Riley Morris,Sr. Director of Information Technology,rmorris@lighthouse-sf.org,Community-based Organization / Non-profit (501c3),,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://lighthouse-sf.org/program/blind-low-vision-skills-training,LightHouse Headquarters,"1155 Market St, Fl 10, San Francisco, CA, 94103.0, US",'+14156947323,9:00am-4:30pm,https://lighthouse-sf.org/lighthouse-programs/,Earle Baum Center,"4539 Occidental Rd., Santa Rosa, CA, 95401.0, US",'+14156947323,9:00am-4:30pm,https://lighthouse-sf.org/lighthouse-programs/,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and it’s more than $25.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Tagalog, Mandarin, Vietnamese, Korean, Cantonese, Armenian, Farsi, Arabic, Hindi, Russian, Japanese, Punjabi, French, Khmer, Other","Other, Assessible User Experience services, consultation and support.",Yes. We charge a fee for our services.,12/22/25 12:04
Yolo County Library,226 Buckeye Street,Woodland,CA,95695,'+15306668083,https://yolocountylibrary.org/,Jamie Poirier,Assistant County Librarian,jamie.poirier@yolocounty.gov,"Library, County Government, Regional Broadband Consortia",,"Locating low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Yolo,,"Virtually, In-Person",https://yolocountylibrary.org/services/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish",,No. Our services are offered free of cost.,12/22/25 10:10
Alzheimer's Association of Northern CA & Northern NV,2290 N. First St,San Jose,CA,95131,'+14083729970,https://alz.org/norcal,Vanessa Souza,"Senior Manager, Community Engagement",vsouza@alz.org,Community-based Organization / Non-profit (501c3),,"Digital navigation (in-person or virtual/call center), Online educational resources",,,,"Virtually, In-Person",https://alz.org/norcal,In person services are provided at community locations offered by partner organizations,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish, Mandarin, Cantonese","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/22/25 9:56
Los Angeles County Development Authority,700 W Main St,Alhambra,CA,91801,'+16262624511,https://www.lacda.org,Jeanette Montano,Resident Services Program Administrator,jeanette.montano@lacda.org,"Public Housing Authority or Affordable Housing Organization, Other, Other",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training",,,,In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Cantonese",,No. Our services are offered free of cost.,12/22/25 7:43
Digitunity,120 N SOUTH RD UNIT C PMB 284,NORTH CONWAY,NH,03860-5267,'+12038639100,https://www.digitunity.org,Meredith Wynne,Member and Donor Services Manager,info@digitunity.org,Community-based Organization / Non-profit (501c3),,Free/Low-cost devices,,,,Virtually,https://digitunity.org/get-involved/receive-equipment/,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",English,"Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/22/25 7:41
Goodwill Southern Los Angeles County (SOLAC),800 West Pacific Coast Highway,Long Beach,CA,90806,'+15624353411,http://www.thinkgood.org,Elizabeth Gonzalez,Digital Skills Instructor,elgonzalez@goodwillsolac.org,"Workforce Development Organization, Other",,"Digital literacy & skills training, Workforce development resources",,Los Angeles,,In-Person,,Goodwill Southern Los Angeles County,"800 West Pacific Coast Highway, Long Beach, CA, 90806.0, US",'+15634354311,8 am to 4 pm,https://thinkgood.org/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish","Organizational training, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/21/25 13:02
Orland Free Library,333 Mill Street,Orland,CA,95963,'+15308651640,https://orlandfreelibrary.org/,Jody Meza,Library Director,jmeza@cityoforland.com,"Library, City Government",,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,Glenn,,"Virtually, In-Person",https://www.orlandfreelibrary.org/resources/#digitalresources,Orland Free Library,"333 Mill Street, Orland, CA, 95963.0, US",'+15308651640,"Monday, Wednesday, Friday: 11am-6pm; Tuesday & Thursday: 11am-7pm; Saturday: 11am-3pm",https://www.orlandfreelibrary.org/,Hamilton City Library,"330 Broadway, Hamilton City, CA, 95951.0, US",'+15308263277,Mondays – 11 a.m. to 5 p.m. Wednesdays – 1 p.m. to 5 p.m. Saturdays – 11 a.m. to 3 p.m.,https://www.orlandfreelibrary.org/branch-libraries-2/hamilton-city-chester-walker-memorial-library/,Bayliss Library,"7830 County Road 39, Bayliss, CA, 95943.0, US",'+15309342287,Tuesdays – 12 p.m. to 6 p.m. Thursdays – 10 a.m. to 4 p.m.,https://www.orlandfreelibrary.org/branch-libraries-2/bayliss-library/,Elk Creek Library,"3430 County Road 309, Elk Creek, CA, 95939.0, US",'+15308849904,"Mondays – 3:30 p.m. to 6:30 p.m. Thursdays – 3:30 p.m. to 6:30 p.m. Saturdays – 9:30 a.m. to 2:30 p.m. (will be changing in Jan, 2026)",https://www.orlandfreelibrary.org/branch-libraries-2/elk-creek-library/,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/19/25 15:41
Tech Exchange,2201 Poplar St.,Oakland,CA,94607,'+15108662260,https://www.techexchange.org,Ulises Zatarain,Executive Director,ulises@techexchange.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Alameda, Contra Costa, San Francisco, San Mateo, Santa Clara, Solano",,"Virtually, In-Person",https://www.techexchange.org,TecHub,"1716 Telegraph Rd., Oakland, CA, 94607.0, US",'+15108662260,,https://www.techexchange.org,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","English, Spanish, Mandarin, Vietnamese, Cantonese, Other","Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/19/25 15:23
Valley Voices,729 W. Lacey Blvd. Suite 9,Hanford,CA,93230,'+15595303778,https://www.vvoices.org/,Claire Fitiausi,Public Health Program Director,clairef@vvoices.org,Community-based Organization / Non-profit (501c3),,"Enrollment assistance in low-cost internet service programs, Technical support",,"Fresno, Kings, Tulare",,In-Person,,Alma's Flea Market,"8967 Lacey Blvd., Hanford, CA, 93230.0, US",,Monday 8am to12pm,,Episcopal Church of the Saviour,"519 N. Douty, Hanford, CA, 93230.0, US",,Wednesdays 10am to 1pm and as needed,,Avenal Veteran's Memorial Hall,"108 W. Kings Street, Avenal, CA, 93204.0, US",,"2nd Friday of each month, 12pm to 6pm",,John Palacio Community Center,"16846 4th Street, Huron, CA, 93234.0, US",,"Third Friday of each month, 12pm to 6pm",,,,,,,No. Our services are offered free of cost.,"Yes, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/19/25 13:11
Mission Economic Development Agency,2301 Mission Street,San Francisco,CA,94110,'+14152823334,https://medasf.org/,Luis Granados,CEO,lgranados@medasf.org,Community-based Organization / Non-profit (501c3),,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",,"Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Shasta, Solano",,"Virtually, In-Person",https://medasf.org/programs/,Mission Economic Development Agency,"2301 Mission Street, San Francisco, CA, 94110.0, US",'+14152823334,9-5pm,https://medasf.org/workforce-development/,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Other","English, Spanish","Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,12/19/25 11:54
Hispanic Federation,55 Exchange Place,New York,NY,10005,'+19295069068,https://hispanicfederation.org,Peter Michelen,Director for Workforce Initiatives,pmichelen@hispanicfederation.org,Community-based Organization / Non-profit (501c3),,"Digital literacy & skills training, Technical support, Computer center(s), Online educational resources, Workforce development resources",,,,"Virtually, In-Person",https://hispanicfederation.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Digital equity grant writing, Organizational training, Train-the-trainer, Mutual aid (financial), Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/19/25 11:08
