Name of Organization,Organization Address,Organization City,"Organization State
(Drop-down options)",Organization Zip/Postal Code,Business Phone Number,Hours of Operation,Webpage,Name of Point of Contact,Position/Title,Business Email Address,"Type of Organization
(Response options in Question 3 of the Read-Me.)",What digital inclusion service(s) does your entity/organization provide to individuals? (Response options in Question 4 of the Read-Me.),"What is your entity/organization's service area?
(Drop-down options)",Please indicate all the counties in which you provide services.(Response options in Question 6 of the Read-Me).,Please indicate all the cities in which you provide services.,"In-Person or Virtual Services
(Drop-down options)","Does your entity/organization charge for its services?
(Drop-down options)","Does your entity/organization serve individuals at or below 150% of the Federal Poverty Level?
(Drop-down options)","If yes, does your entity/organization serve any additional populations? (Response options in Question 10a of the Read-Me).",What language(s) does your entity/organization provide its services in?,Does your entity/organization provide any of the following support or services to other organizations? (Response options in Question 12 of the Read-Me.),"Does your entity/organization charge for its services?
(Drop-down options)",,,
Community Health Centers of the Central Coast,116 S. Palisade St. Suite 301,Santa Maria,CA,93454,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1835 N. Broadway,Santa Maria,CA,93454,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,2801 Santa Maria Way,Santa Maria,CA,93454,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,150 Tejas Place,Nipomo,CA,93444,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,4723 W. Main St. Suite H,Guadalupe,CA,93434,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,2120 Cienaga St. ,Oceano,CA,93445,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,260 Station Way,Arroyo Grande,CA,93420,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1057 Grande Ave,Arroyo Grande,CA,93420,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,490 Bell St. Suite 101,Los Alamos,CA,93440,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1300 W. Ocean,Lompoc,CA,93436,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,40 Prado Rd. ,San Luis Obispo,CA,93401,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,77 Casa St. ,San Luis Obispo ,CA,93401,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,7512 Morro Rd.,Atascadero,CA,93422,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,4711 Highway 166,New Cuyama,CA,93254,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,292 Posada Ln.,Templeton,CA,93465,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,2800 Riverside Ave. ,Paso Robles,CA,93446,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1276 Tamson Dr. ,Cambria ,CA,93428,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities","English, Spanish","Partnership opportunities, Information sharing",No,,,
Community Health Centers of the Central Coast,1385 Mission St. ,San Miguel,CA,93451,(866) 614-4636,"8:00am - 5:00pm, Monday - Friday",https://communityhealthcenters.org,Austin Lillenberg,Associate Behavioral Health Director,austin.lillenberg@chccc.org,"Health Clinic or Health Center, Other, Other, Non-Profit, Federally Qualified Health Center",Digital navigation (in-person or virtual/call center),County-wide or across multiple counties,"San Luis Obispo, Santa Barbara",,Both,Yes,Yes,,,,,,,
Community Living Campaign Tech Hub,1663 Mission St. Suite 525.,San Francisco,CA,94103,415-821-1003,"M-F Tech hub open for use to seniors, M-F noon-2:00",https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
Curry Senior Center ,315 Turk Street,San Francisco,CA,94102,415-920-1351,"M-F Mon: 9-11am/ 1-4pm
Tues: 9-10am/1:30-4pm
Wed: 3-4pm
Thur: 9-10am/1-2pm
Fri: 1-4pm",https://www.sfhsa.org/services/disability-aging/community-activities/sf-connected/sf-connected-locations,DAS-OCP SF Connected,DAS OCP /SF Connected Program Team,"""SFConnected,  (HSA) (DSS)"" <sfconnected@sfgov.org>",Other: SF Connected Technology Lab hosted at non-Governmental Organization sites,Public Wi-Fi and Computer center,City-wide or across multiple cities,San Francisco,San Francisco,In-Person,No,Yes,"Aging Individuals (Age 60+),Veterans Individuals with Disabilities , Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities","Other- SF Connected computer- interface languages (Chinese, English, Russian, Spanish, Vietnamese)
",Partnership opportunities,,,,
