Name of Organization,Organization Address: Address Line 1,Organization Address: City,Organization Address: State,Organization Address: Zip/Postal Code,Business Phone No,Webpage,Name of Point of Contact,Position/Title,Business Email Address,Type of Organization,(For ISP only) Do you have a low-cost home internet service offer or subsidy?,4. What digital inclusion service(s) does your entity/organization provide to individuals? Please select all that apply.,5. What is your entity/organization's service area?,6. Please indicate all the counties in which you provide services.,7. Please indicate all the cities in which you provide services,8. How does your entity/organization provide its services? Select all that apply. ,Please provide the website URL where more information about your virtual program / service can be found.,Name of physical location where services are provided.,What is the physical location address where your entity/organization provides in-person services?,Phone Number,Hours of Operation,Program/Service Webpage,Name of physical location where services are provided..1,What is the physical location address where your entity/organization provides in-person services?.1,Phone Number.1,Hours of Operation.1,Program/Service Webpage.1,Name of physical location where services are provided..2,What is the physical location address where your entity/organization provides in-person services?.2,Phone Number.2,Hours of Operation.2,Program/Service Webpage.2,Name of physical location where services are provided..3,What is the physical location address where your entity/organization provides in-person services?.3,Phone Number.3,Hours of Operation.3,Program/Service Webpage.3,Name of physical location where services are provided..4,What is the physical location address where your entity/organization provides in-person services?.4,Phone Number.4,Hours of Operation.4,Program/Service Webpage.4,9. Does your entity/organization charge for its services?,10. To which of the following are your service available?,11. What language(s) does your entity/organization provide its services in? Please select all that apply.Â ,12. Does your entity/organization provide any of the following supports or services to other organizations? Please select all that apply.,13. Does your entity/organization charge for its services?,Date Submitted,lat,long,google_maps_url,physical_county
"Connected Home Living, Inc.",Virtual,,,,800-311-7859,https://www.connectedhomeliving.com,Neil Tantingco,CEO,neil@connectedhomeliving.com,"Connected Home Living, Inc.",,Digital navigation (in-person or virtual/call center),Statewide,"Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba",Inyo,Virtually,https://www.connectedhomeliving.com,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",Farsi,"Train-the-trainer, Partnership opportunities, Information sharing",Yes. We charge a fee for our services.,12/18/25 13:38,,,,
Contra Costa County Library,Virtual,,,,925-608-7700,https://ccclib.org/,Alison McKee,County Librarian,alison.mckee@library.cccounty.us,Contra Costa County Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost hotspots, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Contra Costa,,"Virtually, In-Person",https://ccclib.org/,,Martinez,925-608-7700,,https://ccclib.org/,,Martinez,,,https://ccclib.org/,,Martinez,,,https://ccclib.org/,,Martinez,,,https://ccclib.org/,,Martinez,,,https://ccclib.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",Farsi,,No. Our services are offered free of cost.,12/15/25 13:19,,,,
Corona Public Library,650 S. Main Street,Corona,CA,92882,951-279-3728,https://www.coronaca.gov/departments/library,Daniell Whittington,Library Manager,aska.librarian@coronaca.gov,Corona Public Library,,"Digital literacy & skills training, Technical support, Free/Low-cost devices, Public Wi-Fi, Computer center(s), Online educational resources",City-wide or across multiple cities,Riverside,,In-Person,,,Corona,,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,,Corona,,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,,Corona,,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,,Corona,,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,,Corona,,Monday-Friday: 10a-8p; Saturday 10a-2p,https://www.coronaca.gov/departments/library,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,,No. Our services are offered free of cost.,11/24/25 10:32,33.875099,-117.568018,"https://www.google.com/maps?q=33.875099,-117.568018",Riverside
"County of Los Angeles Chief Executive Office Anti-Racism, Diversity, and Inclusion (ARDI) Initiative",Virtual,,,,213-948-2822,https://ceo.lacounty.gov/ardi/,Tolu Bamishigbin,Principal Analyst,twuraola@ceo.lacounty.gov,"County of Los Angeles Chief Executive Office Anti-Racism, Diversity, and Inclusion (ARDI) Initiative",,Online educational resources,County-wide or across multiple counties,Los Angeles,,Virtually,https://experience.arcgis.com/experience/9d7a43397ea84ab98a534be5b5376fba/page/Home?views=Map-Layers%2CSocial-Equity#data_s=id%3AdataSource_4-195af011fd3-layer-87%3A136,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other",,"Information sharing, Other",No. Our services are offered free of cost.,1/7/26 13:56,,,,
County of Los Angeles Community Broadband Network - East Los Angeles and Boyle Heights (In Partnership with WeLink Communications),Virtual,,,,323-457-5414,https://www.deletethedivide.org/community-broadband-network/,Eric Sasaki,"Manager, Major Programs",esasaki@isd.lacounty.gov,County of Los Angeles Community Broadband Network - East Los Angeles and Boyle Heights (In Partnership with WeLink Communications),,Enrollment assistance in low-cost internet service programs,Other,,,Virtually,https://www.deletethedivide.org/community-broadband-network/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itÃ¢â‚¬â„¢s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,Partnership opportunities,No. Our services are offered free of cost.,1/7/26 15:07,,,,
County of Los Angeles Community Broadband Network - South Los Angeles (In Partnership with WeLink Communications),Virtual,,,,323-457-5414,https://www.deletethedivide.org/community-broadband-network/,Eric Sasaki,"Manager, Major Programs",esasaki@isd.lacounty.gov,County of Los Angeles Community Broadband Network - South Los Angeles (In Partnership with WeLink Communications),,Enrollment assistance in low-cost internet service programs,Other,,,Virtually,https://www.deletethedivide.org/community-broadband-network/,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itÃ¢â‚¬â„¢s more than $25.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,Partnership opportunities,No. Our services are offered free of cost.,1/7/26 15:12,,,,
County of Los Angeles Community Digital Needs Data Program,Virtual,,,,323-457-5414,https://www.deletethedivide.org/digital-needs/,Eric Sasaki,"Manager, Major Porgrams",esasaki@isd.lacounty.gov,County of Los Angeles Community Digital Needs Data Program,,,County Government,Los Angeles,,Virtually,https://www.deletethedivide.org/digital-needs/,,,323-457-5414,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,,,,,
County of Los Angeles Community Digital Needs Data Program,"1100 N. Eastern Ave., Executive Offices",Los Angeles,CA,90063,323-457-5414,https://www.deletethedivide.org/digital-needs/,Eric Sasaki,"Manager, Major Porgrams",esasaki@isd.lacounty.gov,County of Los Angeles Community Digital Needs Data Program,,,County Government,Los Angeles,,In-Person,,County of Los Angeles Community Digital Needs Data Program,Los Angeles,323-457-5414,Mon-Fri 8:30am - 5pm,https://www.deletethedivide.org/digital-needs/,County of Los Angeles Community Digital Needs Data Program,Los Angeles,,Mon-Fri 8:30am - 5pm,https://www.deletethedivide.org/digital-needs/,County of Los Angeles Community Digital Needs Data Program,Los Angeles,,Mon-Fri 8:30am - 5pm,https://www.deletethedivide.org/digital-needs/,County of Los Angeles Community Digital Needs Data Program,Los Angeles,,Mon-Fri 8:30am - 5pm,https://www.deletethedivide.org/digital-needs/,County of Los Angeles Community Digital Needs Data Program,Los Angeles,,Mon-Fri 8:30am - 5pm,https://www.deletethedivide.org/digital-needs/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,,34.051056,-118.174528,"https://www.google.com/maps?q=34.051056,-118.174528",Los Angeles
County of Los Angeles Intergovernmental Broadband Coordinating Committee,Virtual,,,,323-687-4119,,Rebecca F. Kauma,Director of Digital Equity,rkauma@isd.lacounty.gov,County of Los Angeles Intergovernmental Broadband Coordinating Committee,,Online educational resources,County Government,Los Angeles,,Virtually,,,,323-687-4119,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,,,,,
Cox Communications,Virtual,,,,800-234-3993,https://cox.com/awwr,Cassandra Weinlein,"VP, Field Government and Public Affairs",cassandra.weinlein@cox.com,Cox Communications,,"Enrollment assistance in low-cost internet service programs, Online educational resources",City-wide or across multiple cities,"Los Angeles, Orange, San Diego, Santa Barbara, Ventura",,Virtually,https://www.cox.com/AWWR,,,,,,,,,,,,,,,,,,,,,,,,,,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Other",,Partnership opportunities,No. Our services are offered free of cost.,1/12/26 13:49,,,,
Cox Communications - Rancho Santa Margarita Solutions Store,30652 Santa Margarita Pkwy,Rancho Santa Margarita,CA,92688,800-234-3993,https://cox.com/awwr,Cassandra Weinlein,"VP, Field Government and Public Affairs",cassandra.weinlein@cox.com,Cox Communications - Rancho Santa Margarita Solutions Store,,"Enrollment assistance in low-cost internet service programs, Computer center(s), Online educational resources",City-wide or across multiple cities,Orange,,In-Person,,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,949-216-9765,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",,Rancho Santa Margarita Solutions Store,Rancho Santa Margarita,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",,Yes. We charge a fee for our services and itâ€™s more than $25.,"Yes, Other",,Partnership opportunities,No. Our services are offered free of cost.,1/12/26 13:49,33.64246,-117.595593,"https://www.google.com/maps?q=33.64246,-117.595593",Orange
Curry Senior Center,Virtual,,,,415-917-3410,https://curryseniorcenter.org/,Ruben Chavez,Deputy Director,rchavez@curryseniorcenter.org,Curry Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources",Other,,,"Virtually, In-Person",https://curryseniorcenter.org/programs-category/,,San Francisco,415-829-3240,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/5/25 11:47,,,,
Curry Senior Center - Community Programs,315 Turk Street,San Francisco,CA,94102,415-917-3410,https://curryseniorcenter.org/,Ruben Chavez,Deputy Director,rchavez@curryseniorcenter.org,Curry Senior Center - Community Programs,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Computer center(s), Online educational resources",Other,,,In-Person,,Community Programs,San Francisco,415-917-3410,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,Community Programs,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,Community Programs,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,Community Programs,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,Community Programs,San Francisco,,9:00am - 4:00pm,https://curryseniorcenter.org/programs-category/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",Farsi,"Organizational training, Partnership opportunities, Information sharing",No. Our services are offered free of cost.,12/5/25 11:47,37.782543,-122.414338,"https://www.google.com/maps?q=37.782543,-122.414338",San Francisco
Del Norte County Library District - Main Library,Virtual,,,,707-464-9793,https://delnortecountylibrary.org/,Beth Quetschke,Library Director,bethq@delnortecountylibrary.org,Del Norte County Library District - Main Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Del Norte,,"Virtually, In-Person",https://delnortecountylibrary.org/services-1,,Crescent City,707-464-9793,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",https://delnortecountylibrary.org/services-1,,Crescent City,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",https://delnortecountylibrary.org/services-1,,Crescent City,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",https://delnortecountylibrary.org/services-1,,Crescent City,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",https://delnortecountylibrary.org/services-1,,Crescent City,,"Monday 10:00 AM - 6:00 PM, Saturday 10:00 AM - 6:00 PM",https://delnortecountylibrary.org/services-1,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/24/25 10:20,,,,
Del Norte County Library District - Smith River Library,241 W First St,Smith River,CA,95567,707-464-9793,https://delnortecountylibrary.org/,Beth Quetschke,Library Director,bethq@delnortecountylibrary.org,Del Norte County Library District - Smith River Library,,"Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Public Wi-Fi, Computer center(s), Online educational resources, Workforce development resources",County-wide or across multiple counties,Del Norte,,In-Person,,Smith River Library of Del Norte County,Smith River,707-487-8048,"Tuesday 11:00 AM - 3:00 PM, Friday 11:00 AM - 3:00 PM",https://delnortecountylibrary.org/services-1,Smith River Library of Del Norte County,Smith River,,"Tuesday 11:00 AM - 3:00 PM, Friday 11:00 AM - 3:00 PM",https://delnortecountylibrary.org/services-1,Smith River Library of Del Norte County,Smith River,,"Tuesday 11:00 AM - 3:00 PM, Friday 11:00 AM - 3:00 PM",https://delnortecountylibrary.org/services-1,Smith River Library of Del Norte County,Smith River,,"Tuesday 11:00 AM - 3:00 PM, Friday 11:00 AM - 3:00 PM",https://delnortecountylibrary.org/services-1,Smith River Library of Del Norte County,Smith River,,"Tuesday 11:00 AM - 3:00 PM, Friday 11:00 AM - 3:00 PM",https://delnortecountylibrary.org/services-1,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,11/24/25 10:20,41.926355,-124.14823,"https://www.google.com/maps?q=41.926355,-124.14823",Del Norte
Delete The Divide (County of Los Angeles),Virtual,,,,323-641-5989,https://www.deletethedivide.org/,Cynthia De La Cruz,DTD Program Manager,CDeLaCruz@isd.lacounty.gov,Delete The Divide (County of Los Angeles),,"Locating low-cost internet service programs, Digital literacy & skills training, Online educational resources, Workforce development resources",County Government,Los Angeles,,"Virtually, In-Person",https://www.deletethedivide.org/,Delete The Divide (County of Los Angeles),Los Angeles,323-641-5989,Mon-Fri 8:00am - 6:00pm,https://www.deletethedivide.org/,Delete The Divide (County of Los Angeles),Los Angeles,,Mon-Fri 8:00am - 6:00pm,https://www.deletethedivide.org/,Delete The Divide (County of Los Angeles),Los Angeles,,Mon-Fri 8:00am - 6:00pm,https://www.deletethedivide.org/,Delete The Divide (County of Los Angeles),Los Angeles,,Mon-Fri 8:00am - 6:00pm,https://www.deletethedivide.org/,Delete The Divide (County of Los Angeles),Los Angeles,,Mon-Fri 8:00am - 6:00pm,https://www.deletethedivide.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,Partnership opportunities,No. Our services are offered free of cost.,,,,,
Department of Industrial Relations | Division of Apprenticeship Standards,Virtual,,,,909-219-0961,https://www.dir.ca.gov/das/das.html,Laura Thompson,Deputy Regional Director of Strategic Partnerships,lthompson@dir.ca.gov,Department of Industrial Relations | Division of Apprenticeship Standards,,Workforce development resources,Statewide,"Alameda, Alpine, Amador, Butte, Calaveras, Colusa, Contra Costa, Del Norte, El Dorado, Fresno, Glenn, Humboldt, Imperial, Inyo, Kern, Kings, Lake, Lassen, Los Angeles, Madera, Marin, Mariposa, Mendocino, Merced, Modoc, Mono, Monterey, Napa, Nevada, Orange, Placer, Plumas, Riverside, Sacramento, San Benito, San Bernardino, San Diego, San Francisco, San Joaquin, San Luis Obispo, San Mateo, Santa Barbara, Santa Clara, Santa Cruz, Shasta, Sierra, Siskiyou, Solano, Sonoma, Stanislaus, Sutter, Tehama, Trinity, Tulare, Tuolumne, Ventura, Yolo, Yuba",Inyo,"Virtually, In-Person",,Division of Apprenticeship Standards,Oakland,,Quarterly 1 - 4 pm,https://www.dir.ca.gov/das/das.html,Division of Apprenticeship Standards,Oakland,,Quarterly 1 - 4 pm,https://www.dir.ca.gov/das/das.html,Division of Apprenticeship Standards,Oakland,,Quarterly 1 - 4 pm,https://www.dir.ca.gov/das/das.html,Division of Apprenticeship Standards,Oakland,,Quarterly 1 - 4 pm,https://www.dir.ca.gov/das/das.html,Division of Apprenticeship Standards,Oakland,,Quarterly 1 - 4 pm,https://www.dir.ca.gov/das/das.html,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities, Other",,"Partnership opportunities, Information sharing",No. Our services are offered free of cost.,1/8/26 14:23,,,,
Destination Crenshaw,5444 Crenshaw Blvd. #100,Los Angeles,CA,90043,323-678-4917,https://www.DestinationCrenshaw.la,Jason Foster,President & CEO,jason@destinationcrenshaw.la,Destination Crenshaw,,"Locating low-cost internet service programs, Digital literacy & skills training, Free/Low-cost devices, Free/Low-cost hotspots, Public Wi-Fi, Workforce development resources",City-wide or across multiple cities,Los Angeles,,In-Person,,,Los Angeles,323-678-4917,10 am - 4 pm,,,Los Angeles,,10 am - 4 pm,,,Los Angeles,,10 am - 4 pm,,,Los Angeles,,10 am - 4 pm,,,Los Angeles,,10 am - 4 pm,,No. Our services are offered free of cost.,"Yes, Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Mutual aid (financial), Partnership opportunities",Yes. We charge a fee for our services.,12/12/25 10:37,33.991867,-118.330474,"https://www.google.com/maps?q=33.991867,-118.330474",Los Angeles
Digital Equity Coalition for Santa Barbara County,Virtual,,,,805-963-1873,https://sbcdec.org,Beatriz Garcia,Director of Strategic Initiatives and Partnerships,bgarcia@sbfoundation.org,Digital Equity Coalition for Santa Barbara County,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training, Technical support, Free/Low-cost devices, Free/Low-cost hotspots, Online educational resources, Workforce development resources",County-wide or across multiple counties,Santa Barbara,,Virtually,https://sbcdec.org,,,,,,,,,,,,,,,,,,,,,,,,,,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Incarcerated Individuals, Veterans, Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities, Rural Communities",,"Organizational training, Partnership opportunities, Collective action, Information sharing",No. Our services are offered free of cost.,12/16/25 14:14,,,,
digitalLIFT,1390 Market Street Suite 200,San Francisco,CA,94102,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,"Alameda, Contra Costa, Marin, San Francisco, Solano",,In-Person,,digitalLIFT,San Francisco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT,San Francisco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT,San Francisco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT,San Francisco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT,San Francisco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.777233,-122.417314,"https://www.google.com/maps?q=37.777233,-122.417314",San Francisco
digitalLIFT - 30th Street Senior Center,225 30th Street              ,San Franciaco,CA,94131,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - 30th Street Senior Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - 30th Street Senior Center,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - 30th Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - 30th Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - 30th Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - 30th Street Senior Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.741936,-122.425117,"https://www.google.com/maps?q=37.741936,-122.425117",San Francisco
digitalLIFT - Adult Recreation Center,1200 Harry Price Dr ,Fairfield,CA,94533,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Adult Recreation Center,,Digital literacy & skills training,City-wide or across multiple cities,Riverside,,In-Person,,digitalLIFT - Adult Recreation Center,Fairfield,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Adult Recreation Center,Fairfield,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Adult Recreation Center,Fairfield,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Adult Recreation Center,Fairfield,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Adult Recreation Center,Fairfield,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,38.253271,-122.047238,"https://www.google.com/maps?q=38.253271,-122.047238",Solano
digitalLIFT - Bernal Heights,515 Cortland Avenue,San Franciaco,CA,94110,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Bernal Heights,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Bernal Heights,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bernal Heights,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bernal Heights,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bernal Heights,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bernal Heights,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.739193,-122.416154,"https://www.google.com/maps?q=37.739193,-122.416154",San Francisco
digitalLIFT - Bookman Community Center,446 Randolph Street,San Franciaco,CA,94132,855-983-0318,https://digitallift.org/,Kami Griffiths,Executive Director,inquiries@digitalLIFT.org,digitalLIFT - Bookman Community Center,,"Locating low-cost internet service programs, Enrollment assistance in low-cost internet service programs, Digital navigation (in-person or virtual/call center), Digital literacy & skills training",County-wide or across multiple counties,San Francisco,,In-Person,,digitalLIFT - Bookman Community Center,San Franciaco,855-983-0318,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bookman Community Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bookman Community Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bookman Community Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,digitalLIFT - Bookman Community Center,San Franciaco,,Please contact us for current schedule.,https://digitallift.org/,No. Our services are offered free of cost.,"Yes, Aging Individuals (Age 60+), Individuals with Disabilities, Individuals with Language Barriers (Limited English Proficiency individuals, etc.), Ethnic or Minority Communities",,"Digital equity grant writing, Organizational training, Train-the-trainer, Partnership opportunities, Collective action, Information sharing",Yes. We charge a fee for our services.,,37.714479,-122.466888,"https://www.google.com/maps?q=37.714479,-122.466888",San Francisco
